País,Año_Compra,Total_Compradores,Gasto_USD_Total,Gasto_USD_Promedio,Items_Total,Items_Promedio,Edad_Promedio,Ingreso_Prom_USD,Distancia_Prom_km,Tiempo_Busq_Prom,Pct_Recomienda,Pct_Primera_Vez,Pct_Satisfechos,Canal_Mas_Frecuente,Categoria_Top,Motivacion_Top,Genero_Predominante,Plataforma_Top
Ecuador,2025,44,2862.6,65.06,271,6.16,25.18,1057.07,3.78,28.02,86.36,20.45,63.64,Redes sociales,Ropa vintage,Ahorro económico,Femenino,Facebook
Ecuador,2026,35,2360.34,67.44,206,5.89,29.54,1005.77,5.81,31.89,82.86,14.29,57.14,Tienda online,Ropa de diseñador,Ahorro económico,Femenino,Instagram
España,2000,14,451.77,32.27,51,3.64,24.71,887.93,5.74,35.64,78.57,14.29,57.14,Feria local,Ropa de diseñador,Sostenibilidad ambiental,Femenino,TikTok
España,2001,4,149.06,37.26,12,3.0,33.5,1100.0,5.65,34.75,100.0,25.0,25.0,Intercambio entre amigos,Ropa vintage,Ahorro económico,Masculino,Instagram
España,2002,8,223.4,27.92,21,2.62,27.0,952.38,5.12,24.88,50.0,12.5,50.0,Mercado físico,Ropa de diseñador,Ahorro económico,Femenino,Instagram
España,2003,9,286.65,31.85,35,3.89,28.44,1093.44,6.77,25.78,100.0,0.0,88.89,Mercado físico,Ropa casual,Sostenibilidad ambiental,Femenino,Pinterest
España,2004,8,365.22,45.65,27,3.38,29.0,1215.25,5.71,23.0,87.5,12.5,87.5,Mercado físico,Ropa casual,Sostenibilidad ambiental,Masculino,Instagram
España,2005,11,347.35,31.58,29,2.64,23.73,1091.27,8.96,33.91,54.55,9.09,63.64,Mercado físico,Ropa de diseñador,Moda única/vintage,Masculino,Facebook
España,2006,5,206.82,41.36,21,4.2,23.2,1247.8,3.4,23.2,80.0,20.0,60.0,Mercado físico,Calzado,Ahorro económico,Masculino,TikTok
España,2007,9,352.39,39.15,33,3.67,30.44,1262.11,4.81,41.67,88.89,0.0,44.44,Feria local,Ropa formal,Ahorro económico,Femenino,TikTok
España,2008,15,608.26,40.55,53,3.53,24.27,981.13,3.35,18.6,86.67,13.33,66.67,Mercado físico,Ropa de diseñador,Ahorro económico,Femenino,Ninguna
España,2009,7,234.93,33.56,37,5.29,24.57,996.86,6.24,33.29,71.43,42.86,57.14,Mercado físico,Ropa de diseñador,Ahorro económico,Masculino,TikTok
España,2010,6,337.1,56.18,25,4.17,37.5,1267.5,6.07,22.33,83.33,16.67,66.67,Feria local,Ropa formal,Ahorro económico,Masculino,TikTok
España,2011,8,479.41,59.93,36,4.5,31.88,1034.75,5.1,28.5,100.0,12.5,75.0,Mercado físico,Ropa deportiva,Ahorro económico,Masculino,Instagram
España,2012,10,495.58,49.56,63,6.3,30.1,856.1,3.55,18.6,70.0,10.0,60.0,Intercambio entre amigos,Calzado,Sostenibilidad ambiental,Femenino,Instagram
España,2013,12,536.67,44.72,42,3.5,30.33,932.83,5.07,35.25,66.67,8.33,58.33,Feria local,Accesorios,Ahorro económico,Femenino,TikTok
España,2014,13,623.3,47.95,58,4.46,30.31,1315.62,3.19,35.31,76.92,15.38,61.54,Aplicación móvil,Ropa deportiva,Moda única/vintage,Masculino,WhatsApp
España,2015,18,858.26,47.68,87,4.83,25.39,1132.06,3.92,28.33,94.44,0.0,44.44,Mercado físico,Ropa de diseñador,Tendencia social,Femenino,WhatsApp
España,2016,10,564.7,56.47,48,4.8,28.7,1041.4,6.93,29.5,60.0,0.0,60.0,Mercado físico,Ropa vintage,Tendencia social,Femenino,Instagram
España,2017,17,938.05,55.18,77,4.53,26.24,1016.18,4.85,33.82,88.24,17.65,76.47,Tienda online,Ropa vintage,Ahorro económico,Femenino,Instagram
España,2018,26,1561.33,60.05,136,5.23,27.81,1014.12,3.88,29.04,80.77,23.08,65.38,Mercado físico,Ropa vintage,Ahorro económico,Masculino,TikTok
España,2019,18,870.31,48.35,82,4.56,24.94,1067.83,4.02,27.56,72.22,33.33,50.0,Aplicación móvil,Ropa vintage,Ahorro económico,Masculino,Instagram
España,2020,28,1516.14,54.15,142,5.07,27.93,1043.25,4.7,24.79,67.86,10.71,50.0,Feria local,Ropa formal,Ahorro económico,Femenino,Instagram
España,2021,39,2426.28,62.21,210,5.38,26.79,1036.46,5.12,30.31,79.49,20.51,51.28,Aplicación móvil,Ropa deportiva,Ahorro económico,Femenino,TikTok
España,2022,43,2807.09,65.28,230,5.35,26.53,1028.47,3.69,33.65,67.44,9.3,67.44,Tienda online,Ropa casual,Ahorro económico,Femenino,Instagram
España,2023,30,1859.27,61.98,160,5.33,25.77,1025.6,6.25,30.0,86.67,3.33,63.33,Feria local,Ropa casual,Moda única/vintage,Femenino,TikTok
España,2024,48,3049.69,63.54,248,5.17,28.65,1070.33,4.38,32.25,81.25,12.5,72.92,Tienda online,Ropa vintage,Sostenibilidad ambiental,Femenino,Instagram
España,2025,28,1921.17,68.61,151,5.39,28.96,1159.39,5.41,31.93,75.0,14.29,64.29,Tienda online,Accesorios,Ahorro económico,Femenino,WhatsApp
España,2026,41,2771.23,67.59,223,5.44,26.68,1152.71,4.14,29.12,82.93,14.63,65.85,Tienda online,Ropa vintage,Ahorro económico,Femenino,Facebook
México,2000,6,168.26,28.04,20,3.33,24.17,838.83,4.97,24.17,66.67,16.67,83.33,Mercado físico,Ropa deportiva,Sostenibilidad ambiental,Masculino,Ninguna
México,2001,9,238.16,26.46,26,2.89,28.89,1071.33,6.11,30.33,77.78,0.0,66.67,Feria local,Ropa vintage,Tendencia social,Masculino,TikTok
México,2002,7,214.14,30.59,22,3.14,27.0,1050.29,3.97,27.43,71.43,57.14,57.14,Intercambio entre amigos,Calzado,Ahorro económico,Femenino,TikTok
México,2003,8,262.73,32.84,36,4.5,24.0,956.0,7.1,30.88,87.5,12.5,62.5,Mercado físico,Ropa casual,Ahorro económico,Femenino,WhatsApp
México,2004,6,206.26,34.38,25,4.17,28.5,898.67,9.32,30.0,66.67,16.67,66.67,Mercado físico,Ropa vintage,Reducir consumo,Femenino,Instagram
México,2005,6,249.68,41.61,16,2.67,32.33,1277.33,4.6,39.5,50.0,33.33,66.67,Feria local,Ropa deportiva,Ahorro económico,Masculino,WhatsApp
México,2006,6,246.59,41.1,22,3.67,21.17,1085.5,6.43,20.17,50.0,16.67,83.33,Feria local,Ropa de diseñador,Sostenibilidad ambiental,Masculino,TikTok
México,2007,8,336.27,42.03,31,3.88,26.12,1102.0,4.53,24.12,37.5,0.0,62.5,Intercambio entre amigos,Accesorios,Reducir consumo,Femenino,TikTok
México,2008,10,451.35,45.14,38,3.8,26.7,1114.6,3.81,30.1,100.0,10.0,100.0,Mercado físico,Ropa casual,Tendencia social,Femenino,TikTok
México,2009,11,437.38,39.76,46,4.18,27.91,1038.45,3.21,35.09,81.82,9.09,54.55,Mercado físico,Ropa de diseñador,Moda única/vintage,Femenino,TikTok
México,2010,5,192.26,38.45,26,5.2,22.2,1098.0,3.5,46.0,80.0,20.0,60.0,Feria local,Calzado,Ahorro económico,Masculino,Instagram
México,2011,9,451.71,50.19,38,4.22,28.89,1099.33,5.37,25.56,88.89,22.22,22.22,Feria local,Accesorios,Ahorro económico,Femenino,Instagram
México,2012,13,572.17,44.01,52,4.0,28.46,1218.38,3.87,29.46,92.31,7.69,76.92,Mercado físico,Ropa formal,Ahorro económico,Femenino,Instagram
México,2013,10,497.64,49.76,58,5.8,25.3,1217.8,5.46,36.0,50.0,0.0,30.0,Feria local,Calzado,Sostenibilidad ambiental,Masculino,WhatsApp
México,2014,19,965.83,50.83,74,3.89,27.37,1121.21,6.73,29.68,73.68,5.26,78.95,Mercado físico,Ropa casual,Ahorro económico,Femenino,Instagram
México,2015,12,736.02,61.34,55,4.58,29.58,995.25,3.99,30.17,83.33,16.67,75.0,Feria local,Ropa casual,Ahorro económico,Femenino,Facebook
México,2016,11,660.88,60.08,54,4.91,26.09,1154.09,4.0,37.36,90.91,18.18,45.45,Aplicación móvil,Ropa vintage,Ahorro económico,Femenino,Ninguna
México,2017,16,898.72,56.17,76,4.75,30.94,1048.88,3.53,31.0,93.75,0.0,62.5,Intercambio entre amigos,Calzado,Ahorro económico,Femenino,TikTok
México,2018,23,1181.75,51.38,105,4.57,25.96,1213.17,4.59,22.3,65.22,8.7,69.57,Tienda online,Ropa deportiva,Ahorro económico,Femenino,Instagram
México,2019,26,1487.69,57.22,122,4.69,27.04,1085.38,5.7,26.15,80.77,11.54,65.38,Redes sociales,Ropa de diseñador,Sostenibilidad ambiental,Femenino,Instagram
México,2020,28,1603.73,57.28,117,4.18,30.07,1052.21,5.38,27.71,60.71,17.86,60.71,Tienda online,Calzado,Ahorro económico,Femenino,TikTok
México,2021,35,2059.2,58.83,183,5.23,30.09,1074.43,5.51,30.57,80.0,14.29,48.57,Aplicación móvil,Calzado,Ahorro económico,Femenino,Facebook
México,2022,37,2401.39,64.9,218,5.89,28.95,1124.7,5.38,27.81,89.19,10.81,72.97,Redes sociales,Ropa vintage,Ahorro económico,Femenino,Instagram
México,2023,41,2543.8,62.04,236,5.76,28.2,1149.51,4.96,26.51,78.05,21.95,60.98,Tienda online,Ropa de diseñador,Moda única/vintage,Femenino,TikTok
México,2024,41,2720.51,66.35,219,5.34,27.05,1111.61,5.68,26.9,78.05,17.07,58.54,Redes sociales,Accesorios,Ahorro económico,Femenino,Instagram
México,2025,39,2525.38,64.75,195,5.0,28.67,1118.87,6.27,25.31,66.67,15.38,64.1,Tienda online,Ropa casual,Ahorro económico,Femenino,Instagram
México,2026,40,2797.62,69.94,209,5.22,29.2,1012.08,4.44,31.92,75.0,17.5,57.5,Tienda online,Ropa vintage,Ahorro económico,Masculino,Instagram
Perú,2000,11,322.09,29.28,39,3.55,26.36,1109.27,5.24,39.18,81.82,45.45,81.82,Feria local,Ropa de diseñador,Ahorro económico,Masculino,Instagram
Perú,2001,6,221.92,36.99,21,3.5,30.0,1026.17,4.9,32.17,83.33,16.67,83.33,Mercado físico,Ropa de diseñador,Ahorro económico,Masculino,TikTok
Perú,2002,6,145.45,24.24,19,3.17,27.17,792.33,4.67,41.83,83.33,16.67,66.67,Mercado físico,Calzado,Tendencia social,Femenino,Instagram
Perú,2003,6,186.79,31.13,18,3.0,28.67,1195.33,7.2,38.33,50.0,16.67,66.67,Mercado físico,Ropa formal,Moda única/vintage,Masculino,WhatsApp
Perú,2004,8,237.95,29.74,23,2.88,27.75,1262.38,5.51,30.12,87.5,12.5,50.0,Mercado físico,Ropa de diseñador,Ahorro económico,Femenino,Facebook
Perú,2005,12,506.67,42.22,35,2.92,26.25,1026.92,8.11,40.17,75.0,16.67,75.0,Mercado físico,Ropa de diseñador,Sostenibilidad ambiental,Femenino,Facebook
Perú,2006,5,192.25,38.45,21,4.2,24.2,923.8,1.76,17.2,100.0,0.0,80.0,Mercado físico,Accesorios,Ahorro económico,Femenino,TikTok
Perú,2007,8,249.21,31.15,28,3.5,26.62,996.0,3.01,19.88,75.0,12.5,50.0,Mercado físico,Calzado,Ahorro económico,Masculino,TikTok
Perú,2008,10,396.98,39.7,35,3.5,24.1,932.2,4.14,39.7,90.0,30.0,60.0,Feria local,Ropa vintage,Sostenibilidad ambiental,Femenino,Instagram
Perú,2009,11,476.97,43.36,39,3.55,28.45,1061.09,4.01,29.64,81.82,0.0,63.64,Mercado físico,Ropa casual,Ahorro económico,Masculino,Instagram
Perú,2010,11,419.23,38.11,45,4.09,29.09,1106.27,2.3,24.73,90.91,9.09,72.73,Mercado físico,Ropa casual,Sostenibilidad ambiental,Masculino,Facebook
Perú,2011,7,323.5,46.21,21,3.0,26.29,1106.29,3.83,36.71,100.0,14.29,57.14,Mercado físico,Ropa formal,Ahorro económico,Masculino,Facebook
Perú,2012,12,539.72,44.98,53,4.42,30.25,1069.08,6.09,32.08,83.33,0.0,41.67,Redes sociales,Ropa de diseñador,Tendencia social,Femenino,Pinterest
Perú,2013,9,393.26,43.7,38,4.22,29.11,1211.56,3.58,26.44,100.0,22.22,66.67,Mercado físico,Ropa vintage,Ahorro económico,Masculino,Instagram
Perú,2014,11,639.29,58.12,51,4.64,31.27,1197.64,2.47,24.73,81.82,18.18,63.64,Mercado físico,Ropa de diseñador,Moda única/vintage,Femenino,WhatsApp
Perú,2015,15,821.73,54.78,51,3.4,27.07,1068.53,4.55,25.6,80.0,20.0,53.33,Mercado físico,Accesorios,Ahorro económico,Femenino,Facebook
Perú,2016,15,691.52,46.1,72,4.8,26.67,1083.4,6.01,40.33,73.33,13.33,60.0,Feria local,Ropa formal,Ahorro económico,Femenino,Ninguna
Perú,2017,23,1415.07,61.52,107,4.65,31.09,1153.96,2.22,28.22,69.57,21.74,65.22,Aplicación móvil,Accesorios,Ahorro económico,Masculino,Facebook
Perú,2018,17,950.4,55.91,82,4.82,30.53,1096.94,4.78,26.0,82.35,17.65,76.47,Mercado físico,Ropa de diseñador,Ahorro económico,Femenino,Facebook
Perú,2019,26,1410.9,54.27,154,5.92,26.73,1023.5,4.52,30.19,76.92,7.69,73.08,Tienda online,Ropa casual,Ahorro económico,Femenino,Facebook
Perú,2020,27,1508.52,55.87,130,4.81,26.81,1203.56,4.82,32.11,81.48,22.22,62.96,Feria local,Ropa deportiva,Ahorro económico,Femenino,Instagram
Perú,2021,34,1997.81,58.76,165,4.85,28.35,1033.56,6.37,32.56,70.59,17.65,67.65,Tienda online,Ropa vintage,Sostenibilidad ambiental,Femenino,Ninguna
Perú,2022,45,2679.1,59.54,244,5.42,29.67,1091.58,6.22,30.87,80.0,8.89,60.0,Redes sociales,Ropa formal,Ahorro económico,Femenino,Instagram
Perú,2023,50,3184.7,63.69,247,4.94,25.82,1102.92,5.19,33.48,74.0,20.0,66.0,Aplicación móvil,Ropa de diseñador,Ahorro económico,Femenino,Instagram
Perú,2024,56,3528.09,63.0,301,5.38,28.04,1073.41,5.84,31.07,82.14,16.07,75.0,Redes sociales,Ropa deportiva,Ahorro económico,Femenino,Instagram
Perú,2025,46,3009.95,65.43,275,5.98,28.5,1025.91,5.38,31.98,86.96,10.87,69.57,Tienda online,Calzado,Ahorro económico,Femenino,Instagram
Perú,2026,33,2121.96,64.3,196,5.94,25.64,1078.12,4.64,29.48,78.79,12.12,60.61,Redes sociales,Calzado,Ahorro económico,Femenino,Instagram
Uruguay,2000,7,203.9,29.13,21,3.0,25.86,1066.29,6.31,29.14,85.71,42.86,71.43,Mercado físico,Ropa formal,Moda única/vintage,Femenino,Instagram
Uruguay,2001,6,136.75,22.79,19,3.17,27.0,1151.67,6.35,27.5,50.0,16.67,66.67,Intercambio entre amigos,Ropa de diseñador,Necesidad,Masculino,Instagram
Uruguay,2002,6,189.34,31.56,12,2.0,27.67,1219.0,7.35,41.33,83.33,50.0,50.0,Mercado físico,Accesorios,Ahorro económico,Femenino,TikTok
Uruguay,2003,10,368.15,36.82,37,3.7,32.1,1138.1,4.53,41.8,90.0,0.0,80.0,Mercado físico,Calzado,Ahorro económico,Masculino,Facebook
Uruguay,2004,9,409.77,45.53,26,2.89,27.0,1123.33,6.69,37.67,77.78,11.11,66.67,Mercado físico,Ropa de diseñador,Sostenibilidad ambiental,Femenino,WhatsApp
Uruguay,2005,9,319.25,35.47,34,3.78,30.11,1147.33,5.01,25.33,88.89,22.22,77.78,Mercado físico,Calzado,Ahorro económico,Femenino,Facebook
Uruguay,2006,7,338.43,48.35,27,3.86,24.57,1215.43,5.17,21.0,100.0,0.0,57.14,Mercado físico,Accesorios,Ahorro económico,Femenino,Ninguna
Uruguay,2007,8,286.37,35.8,28,3.5,24.5,955.0,2.56,25.25,87.5,0.0,75.0,Mercado físico,Ropa de diseñador,Ahorro económico,Masculino,WhatsApp
Uruguay,2008,8,269.61,33.7,28,3.5,27.5,934.38,3.64,33.0,75.0,37.5,75.0,Mercado físico,Calzado,Ahorro económico,Femenino,WhatsApp
Uruguay,2009,3,127.35,42.45,14,4.67,27.67,1332.33,2.23,19.67,66.67,66.67,33.33,Mercado físico,Ropa vintage,Sostenibilidad ambiental,Masculino,Ninguna
Uruguay,2010,5,217.73,43.55,14,2.8,23.4,1027.0,4.88,20.8,100.0,40.0,100.0,Mercado físico,Accesorios,Ahorro económico,Masculino,Instagram
Uruguay,2011,5,214.89,42.98,26,5.2,26.8,1050.8,6.32,24.6,100.0,0.0,60.0,Feria local,Ropa deportiva,Sostenibilidad ambiental,Femenino,Pinterest
Uruguay,2012,15,725.67,48.38,60,4.0,27.27,1117.4,3.63,32.0,93.33,20.0,66.67,Tienda online,Ropa formal,Moda única/vintage,Femenino,Instagram
Uruguay,2013,8,334.35,41.79,30,3.75,24.62,1069.38,5.34,28.38,62.5,12.5,87.5,Feria local,Accesorios,Ahorro económico,Femenino,Instagram
Uruguay,2014,13,740.1,56.93,76,5.85,26.62,1045.92,5.66,36.92,84.62,15.38,69.23,Mercado físico,Ropa vintage,Sostenibilidad ambiental,Femenino,TikTok
Uruguay,2015,22,1151.89,52.36,94,4.27,29.77,1077.73,5.71,25.18,72.73,22.73,54.55,Mercado físico,Ropa casual,Ahorro económico,Masculino,Instagram
Uruguay,2016,20,979.16,48.96,97,4.85,29.55,1184.4,2.98,30.35,70.0,25.0,70.0,Mercado físico,Ropa casual,Ahorro económico,Masculino,TikTok
Uruguay,2017,21,1107.34,52.73,102,4.86,26.86,992.57,4.49,39.57,80.95,19.05,57.14,Mercado físico,Accesorios,Ahorro económico,Femenino,TikTok
Uruguay,2018,22,1133.7,51.53,102,4.64,28.73,1174.09,4.97,32.82,90.91,13.64,81.82,Feria local,Calzado,Ahorro económico,Femenino,TikTok
Uruguay,2019,35,1896.39,54.18,174,4.97,27.71,1012.69,4.97,33.14,85.71,22.86,71.43,Redes sociales,Calzado,Ahorro económico,Femenino,Facebook
Uruguay,2020,27,1482.01,54.89,155,5.74,28.3,1047.67,4.19,25.19,77.78,3.7,55.56,Feria local,Ropa casual,Ahorro económico,Femenino,Instagram
Uruguay,2021,31,1979.53,63.86,175,5.65,26.74,956.71,3.45,33.35,87.1,12.9,58.06,Aplicación móvil,Ropa formal,Ahorro económico,Masculino,Pinterest
Uruguay,2022,38,2489.63,65.52,174,4.58,27.68,1123.0,4.91,35.03,84.21,10.53,60.53,Redes sociales,Ropa de diseñador,Ahorro económico,Femenino,Instagram
Uruguay,2023,51,3331.32,65.32,276,5.41,28.43,1067.08,3.83,29.63,78.43,13.73,60.78,Tienda online,Calzado,Ahorro económico,Femenino,WhatsApp
Uruguay,2024,56,3703.58,66.14,314,5.61,27.14,1094.34,4.73,31.62,60.71,12.5,64.29,Redes sociales,Ropa de diseñador,Ahorro económico,Femenino,Instagram
Uruguay,2025,45,3151.7,70.04,236,5.24,27.87,961.0,4.82,31.62,80.0,13.33,64.44,Tienda online,Ropa deportiva,Ahorro económico,Masculino,Instagram
Uruguay,2026,38,2475.4,65.14,220,5.79,27.53,1004.26,4.5,31.58,76.32,7.89,52.63,Redes sociales,Accesorios,Ahorro económico,Femenino,WhatsApp
Venezuela,2000,2,82.95,41.48,3,1.5,30.5,777.5,2.2,24.0,100.0,0.0,50.0,Aplicación móvil,Ropa de diseñador,Ahorro económico,No binario,WhatsApp
Venezuela,2001,11,340.86,30.99,36,3.27,29.91,1060.45,6.17,34.73,81.82,36.36,72.73,Mercado físico,Ropa formal,Moda única/vintage,Femenino,TikTok
Venezuela,2002,8,240.52,30.06,31,3.88,31.88,1119.0,4.53,29.88,87.5,37.5,75.0,Feria local,Ropa deportiva,Tendencia social,Femenino,Instagram
Venezuela,2003,3,110.94,36.98,10,3.33,30.67,1343.33,6.63,32.67,66.67,0.0,33.33,Feria local,Ropa vintage,Tendencia social,Femenino,Instagram
Venezuela,2004,13,455.77,35.06,41,3.15,33.0,1166.62,7.38,28.38,84.62,23.08,76.92,Mercado físico,Ropa vintage,Moda única/vintage,Femenino,WhatsApp
Venezuela,2005,11,408.72,37.16,34,3.09,29.73,1090.64,4.84,32.82,81.82,18.18,54.55,Feria local,Ropa vintage,Sostenibilidad ambiental,Masculino,Facebook
Venezuela,2006,9,443.87,49.32,30,3.33,27.56,1153.0,2.74,39.22,100.0,22.22,44.44,Feria local,Ropa vintage,Ahorro económico,Femenino,Instagram
Venezuela,2007,9,318.37,35.37,37,4.11,28.44,984.11,7.28,27.0,100.0,44.44,44.44,Mercado físico,Ropa formal,Sostenibilidad ambiental,Masculino,Instagram
Venezuela,2008,6,223.63,37.27,24,4.0,28.33,1221.83,3.2,17.17,100.0,0.0,83.33,Mercado físico,Calzado,Ahorro económico,Femenino,Instagram
Venezuela,2009,5,253.08,50.62,15,3.0,34.6,1200.2,8.0,31.8,100.0,20.0,80.0,Feria local,Ropa de diseñador,Ahorro económico,Masculino,Instagram
Venezuela,2010,11,458.48,41.68,50,4.55,28.0,961.36,5.55,21.36,54.55,18.18,63.64,Feria local,Calzado,Ahorro económico,Femenino,Facebook
Venezuela,2011,3,126.76,42.25,9,3.0,24.67,1393.33,2.4,18.33,100.0,33.33,0.0,Feria local,Ropa casual,Sostenibilidad ambiental,Masculino,Ninguna
Venezuela,2012,10,426.07,42.61,41,4.1,30.3,1073.3,4.24,18.2,60.0,0.0,40.0,Mercado físico,Ropa casual,Ahorro económico,Femenino,Instagram
Venezuela,2013,10,445.4,44.54,45,4.5,26.9,1024.0,5.05,30.7,90.0,10.0,20.0,Tienda online,Ropa vintage,Ahorro económico,Femenino,Instagram
Venezuela,2014,19,898.88,47.31,95,5.0,24.05,1089.89,2.75,31.95,84.21,5.26,73.68,Mercado físico,Accesorios,Sostenibilidad ambiental,Femenino,Instagram
Venezuela,2015,19,880.51,46.34,93,4.89,26.47,1092.79,7.02,36.68,78.95,10.53,78.95,Mercado físico,Ropa casual,Ahorro económico,Femenino,WhatsApp
Venezuela,2016,15,752.9,50.19,78,5.2,29.0,1023.2,7.62,29.53,73.33,20.0,80.0,Feria local,Ropa deportiva,Reducir consumo,Masculino,Instagram
Venezuela,2017,22,1119.01,50.86,115,5.23,28.5,1166.05,6.32,31.82,95.45,27.27,59.09,Tienda online,Ropa casual,Ahorro económico,Femenino,WhatsApp
Venezuela,2018,14,664.4,47.46,78,5.57,29.07,1040.86,5.54,20.64,78.57,21.43,71.43,Feria local,Calzado,Ahorro económico,Femenino,Instagram
Venezuela,2019,20,1245.64,62.28,94,4.7,28.85,1077.05,7.48,29.45,85.0,5.0,70.0,Aplicación móvil,Calzado,Ahorro económico,Femenino,WhatsApp
Venezuela,2020,32,1914.26,59.82,158,4.94,26.75,1075.06,3.64,30.25,87.5,18.75,81.25,Tienda online,Ropa vintage,Moda única/vintage,Femenino,Pinterest
Venezuela,2021,33,2036.47,61.71,161,4.88,27.36,997.3,5.29,33.61,81.82,18.18,81.82,Tienda online,Ropa vintage,Ahorro económico,Femenino,Instagram
Venezuela,2022,35,2191.64,62.62,185,5.29,29.03,1134.74,5.09,32.57,77.14,8.57,60.0,Tienda online,Ropa formal,Ahorro económico,Femenino,TikTok
Venezuela,2023,47,3062.91,65.17,267,5.68,27.57,1091.21,4.92,26.57,74.47,10.64,63.83,Tienda online,Ropa formal,Ahorro económico,Femenino,Instagram
Venezuela,2024,40,2618.15,65.45,192,4.8,28.1,1123.82,5.11,24.35,77.5,12.5,75.0,Redes sociales,Ropa casual,Sostenibilidad ambiental,Femenino,Instagram
Venezuela,2025,41,2688.26,65.57,213,5.2,27.51,1076.46,3.58,27.85,80.49,9.76,73.17,Tienda online,Ropa de diseñador,Ahorro económico,Masculino,Facebook
Venezuela,2026,52,3631.47,69.84,275,5.29,26.67,1052.94,4.57,33.06,88.46,19.23,61.54,Tienda online,Accesorios,Ahorro económico,Femenino,Instagram
